contactId,cohort
570001,A
570002,A
570003,A
570004,A
570005,A
570006,A
570007,A
570008,A
570009,A
570010,A
570011,A
570012,A
570015,A
570016,A
570020,A
570021,A
570025,A
570029,A
570030,A
570036,A
570037,A
570038,A
570039,A
570040,A
570041,A
570042,A
570044,A
570046,A
570047,A
570049,A
570051,A
570052,A
570053,A
570056,A
570060,A
570061,A
570062,A
570063,A
570067,A
570068,A
570069,A
570070,A
570072,A
570074,A
570080,A
570081,A
570082,A
570083,A
570085,A
570086,A
570087,A
570088,A
570090,A
570091,A
570092,A
570093,A
570094,A
570095,A
570096,A
570097,A
570098,A
570099,A
570100,A
570101,A
570102,A
570103,A
570104,A
570105,A
630002,A
630005,A
630006,A
630007,A
630008,A
630009,A
630010,A
630011,A
630013,A
630014,A
630016,A
630017,A
630018,A
630019,A
630020,A
630021,A
630022,A
630023,A
630025,A
630026,A
630027,A
630028,A
630030,A
630032,A
630033,A
630034,A
630040,A
630041,A
630042,A
630046,A
630047,A
630048,A
630050,A
630054,A
630055,A
630056,A
630059,A
630060,A
630061,A
630062,A
630063,A
630064,A
630069,A
630078,A
630079,A
630080,A
630081,A
630083,A
630084,A
630085,A
630087,A
630088,A
630089,A
630090,A
630091,A
630092,A
630095,A
630096,A
630097,A
630098,A
630101,A
630103,A
630104,A
630106,A
630107,A
630108,A
630109,A
630110,A
630114,A
630115,A
630116,A
630117,A
630118,A
630120,A
630121,A
630122,A
630125,A
630127,A
630130,A
630131,A
630134,A
630136,A
630141,A
630142,A
630145,A
630146,A
630147,A
630148,A
630149,A
630151,A
660001,A
660002,A
660004,A
660006,A
660008,A
660009,A
660011,A
660013,A
660018,A
660022,A
660023,A
660025,A
660026,A
660027,A
660028,A
660029,A
660032,A
660033,A
660035,A
660047,A
660052,A
660053,A
660054,A
660055,A
660058,A
750002,A
750008,A
750010,A
750012,A
750017,A
750021,A
750029,A
750030,A
750032,A
750040,A
750044,A
750045,A
750049,A
750057,A
750058,A
750059,A
750061,A
750062,A
750063,A
750064,A
780103,A
810056,A
870060,A
870061,A
870062,A
870319,A
870320,A
870559,A
870560,A
870565,A
870566,A
870567,A
871067,A
871427,A
871496,A
872289,A
872296,A
872309,A
872366,A
872815,A
872835,A
872997,A
873154,A
873187,A
873190,A
873191,A
873192,A
873208,A
873209,A
873229,A
873243,A
873244,A
873245,A
873253,A
873259,A
873264,A
873270,A
873273,A
873274,A
873275,A
873278,A
873280,A
873281,A
873282,A
873283,A
873284,A
873289,A
873293,A
873332,A
873333,A
873334,A
873335,A
873338,A
873339,A
873340,A
873341,A
873343,A
873346,A
873348,A
873352,A
873355,A
873374,A
873375,A
873382,A
873390,A
873394,A
873398,A
873402,A
873403,A
873589,A
873690,A
873701,A
873709,A
874098,A
874165,A
874184,A
874187,A
874192,A
874546,A
874567,A
874568,A
874571,A
874573,A
874574,A
874575,A
874578,A
874581,A
874582,A
874583,A
874584,A
874585,A
874586,A
874616,A
874748,A
874912,A
874914,A
874939,A
875095,A
875444,A
875460,A
875463,A
875467,A
875473,A
875787,A
876145,A
876146,A
876147,A
876149,A
876283,A
876284,A
876449,A
876629,A
876846,A
876965,A
877285,A
877342,A
877344,A
877416,A
877420,A
877583,A
877672,A
877733,A
877826,A
878294,A
878606,A
878733,A
878849,A
878853,A
878926,A
879483,A
879761,A
879772,A
879812,A
880096,A
880274,A
880276,A
880279,A
880280,A
880317,A
880585,A
880588,A
880629,A
880677,A
880767,A
881016,A
881127,A
881230,A
881232,A
881236,A
881237,A
881238,A
881239,A
881732,A
882180,A
882209,A
882214,A
882488,A
882501,A
882532,A
882838,A
882913,A
882986,A
883286,A
883302,A
883304,A
883421,A
883454,A
883743,A
883744,A
883745,A
883781,A
883784,A
883791,A
883793,A
883797,A
883864,A
883985,A
883997,A
884522,A
884570,A
884572,A
884950,A
885128,A
885233,A
885277,A
885278,A
885330,A
885351,A
885352,A
885356,A
885357,A
885832,A
885939,A
885941,A
886034,A
886109,A
886143,A
886403,A
886635,A
886832,A
886833,A
886835,A
886843,A
886947,A
887016,A
887084,A
887247,A
887248,A
887254,A
887256,A
887675,A
887757,A
887821,A
887895,A
888050,A
888179,A
888184,A
888416,A
889273,A
889409,A
889680,A
889815,A
889816,A
889817,A
889847,A
889878,A
890063,A
890156,A
890170,A
890333,A
890336,A
890337,A
890343,A
890345,A
890347,A
890592,A
890600,A
890782,A
890852,A
890863,A
890864,A
890866,A
890867,A
890869,A
890953,A
891052,A
891054,A
891132,A
891197,A
891206,A
891241,A
891300,A
892094,A
892119,A
892245,A
892542,A
892676,A
892677,A
892887,A
893014,A
893070,A
893280,A
893321,A
893345,A
893346,A
893357,A
893359,A
893383,A
893397,A
893399,A
893400,A
893402,A
893403,A
893406,A
893415,A
893416,A
893421,A
893426,A
893431,A
893433,A
893434,A
893468,A
893673,A
893860,A
893912,A
893930,A
894082,A
894085,A
894104,A
894150,A
894493,A
894827,A
894974,A
894975,A
894976,A
895014,A
895030,A
895103,A
895540,A
895542,A
895547,A
895550,A
895551,A
895559,A
895672,A
895717,A
895718,A
895740,A
900001,A
930001,A
930007,A
930008,A
930010,A
930014,A
930019,A
930021,A
930024,A
930025,A
930026,A
930027,A
930031,A
930032,A
930033,A
930034,A
930035,A
930036,A
930043,A
930044,A
930050,A
930051,A
930052,A
930053,A
930054,A
930055,A
930056,A
930057,A
930059,A
930062,A
960001,A
960002,A
960003,A
960004,A
960006,A
960007,A
960012,A
960015,A
960016,A
960017,A
960018,A
960019,A
960020,A
960032,A
960037,A
960038,A
960039,A
960041,A
960045,A
960046,A
960050,A
960051,A
960065,A
960066,A
960067,A
960069,A
960070,A
960072,A
960073,A
960075,A
960076,A
960077,A
960078,A
960081,A
960082,A
960084,A
